task,model,fold,test_subject,train_size,test_size,train_time,test_time,accuracy,precision,recall,f1
WESAD_binary_CNN,1D-CNN,1,2,1684,114,122.95,0.0614,0.6578947368421053,0.32894736842105265,0.5,0.3968253968253968
WESAD_binary_CNN,1D-CNN,2,3,1683,115,124.03,0.0448,0.6434782608695652,0.3217391304347826,0.5,0.3915343915343915
WESAD_binary_CNN,1D-CNN,3,4,1681,117,114.89,0.0511,0.6495726495726496,0.3247863247863248,0.5,0.39378238341968913
WESAD_binary_CNN,1D-CNN,4,5,1678,120,112.84,0.0575,0.65,0.325,0.5,0.3939393939393939
WESAD_binary_CNN,1D-CNN,5,6,1679,119,113.55,0.0511,0.6470588235294118,0.3235294117647059,0.5,0.39285714285714285
WESAD_binary_CNN,1D-CNN,6,7,1679,119,114.89,0.0563,0.6554621848739496,0.3277310924369748,0.5,0.39593908629441626
WESAD_binary_CNN,1D-CNN,7,8,1679,119,114.21,0.0505,0.6386554621848739,0.31932773109243695,0.5,0.38974358974358975
WESAD_binary_CNN,1D-CNN,8,9,1678,120,115.09,0.049,0.65,0.325,0.5,0.3939393939393939
WESAD_binary_CNN,1D-CNN,9,10,1673,125,115.45,0.0558,0.624,0.312,0.5,0.3842364532019704
WESAD_binary_CNN,1D-CNN,10,11,1677,121,113.07,0.0547,0.6363636363636364,0.3181818181818182,0.5,0.3888888888888889
WESAD_binary_CNN,1D-CNN,11,13,1677,121,115.7,0.0478,0.6363636363636364,0.3181818181818182,0.5,0.3888888888888889
WESAD_binary_CNN,1D-CNN,12,14,1677,121,116.44,0.0488,0.6363636363636364,0.3181818181818182,0.5,0.3888888888888889
WESAD_binary_CNN,1D-CNN,13,15,1676,122,116.51,0.0581,0.639344262295082,0.319672131147541,0.5,0.39
WESAD_binary_CNN,1D-CNN,14,16,1678,120,117.54,0.0493,0.6416666666666667,0.32083333333333336,0.5,0.39086294416243655
WESAD_binary_CNN,1D-CNN,15,17,1673,125,120.3,0.055,0.624,0.312,0.5,0.3842364532019704
WESAD_3class_CNN,1D-CNN,1,2,2014,137,140.9,0.0657,0.5474452554744526,0.18248175182481752,0.3333333333333333,0.23584905660377356
WESAD_3class_CNN,1D-CNN,2,3,2013,138,148.43,0.0756,0.5362318840579711,0.17874396135265702,0.3333333333333333,0.23270440251572325
WESAD_3class_CNN,1D-CNN,3,4,2010,141,148.55,0.0655,0.5390070921985816,0.17966903073286053,0.3333333333333333,0.2334869431643625
WESAD_3class_CNN,1D-CNN,4,5,2007,144,151.13,0.0659,0.5416666666666666,0.18055555555555555,0.3333333333333333,0.23423423423423426
WESAD_3class_CNN,1D-CNN,5,6,2008,143,146.61,0.0698,0.5384615384615384,0.1794871794871795,0.3333333333333333,0.2333333333333333
WESAD_3class_CNN,1D-CNN,6,7,2008,143,147.9,0.067,0.5454545454545454,0.1818181818181818,0.3333333333333333,0.23529411764705885
WESAD_3class_CNN,1D-CNN,7,8,2009,142,138.6,0.0612,0.5352112676056338,0.1784037558685446,0.3333333333333333,0.2324159021406728
WESAD_3class_CNN,1D-CNN,8,9,2008,143,145.14,0.0651,0.5454545454545454,0.1818181818181818,0.3333333333333333,0.23529411764705885
WESAD_3class_CNN,1D-CNN,9,10,2002,149,139.53,0.0611,0.5234899328859061,0.174496644295302,0.3333333333333333,0.2290748898678414
WESAD_3class_CNN,1D-CNN,10,11,2007,144,141.41,0.065,0.5347222222222222,0.17824074074074073,0.3333333333333333,0.23227752639517343
WESAD_3class_CNN,1D-CNN,11,13,2006,145,439.26,0.2668,0.5310344827586206,0.17701149425287355,0.3333333333333333,0.23123123123123124
WESAD_3class_CNN,1D-CNN,12,14,2006,145,533.64,0.1952,0.5310344827586206,0.17701149425287355,0.3333333333333333,0.23123123123123124
WESAD_3class_CNN,1D-CNN,13,15,2006,145,515.4,0.283,0.5379310344827586,0.1793103448275862,0.3333333333333333,0.23318385650224216
WESAD_3class_CNN,1D-CNN,14,16,2008,143,520.36,0.2283,0.5384615384615384,0.1794871794871795,0.3333333333333333,0.2333333333333333
WESAD_3class_CNN,1D-CNN,15,17,2002,149,532.93,0.2643,0.5234899328859061,0.174496644295302,0.3333333333333333,0.2290748898678414
