task,model,fold,test_subject,train_size,test_size,train_time,test_time,accuracy,precision,recall,f1
WESAD_binary_Hybrid,Hybrid CNN-QNN,1,2,827,56,15.95,0.0192,0.6071428571428571,0.32075471698113206,0.4594594594594595,0.37777777777777777
WESAD_binary_Hybrid,Hybrid CNN-QNN,2,3,826,57,15.04,0.0145,0.8070175438596491,0.8854166666666667,0.725,0.7456389452332657
WESAD_binary_Hybrid,Hybrid CNN-QNN,3,4,826,57,15.25,0.013,1.0,1.0,1.0,1.0
WESAD_binary_Hybrid,Hybrid CNN-QNN,4,5,824,59,15.29,0.016,0.9830508474576272,0.9761904761904762,0.9871794871794872,0.9813113715552739
WESAD_binary_Hybrid,Hybrid CNN-QNN,5,6,824,59,15.54,0.0139,1.0,1.0,1.0,1.0
WESAD_binary_Hybrid,Hybrid CNN-QNN,6,7,824,59,15.86,0.0195,0.847457627118644,0.8448275862068966,0.8846153846153846,0.8429458740017746
WESAD_binary_Hybrid,Hybrid CNN-QNN,7,8,824,59,15.58,0.0175,0.9322033898305084,0.9523809523809523,0.9047619047619048,0.9223684210526315
WESAD_binary_Hybrid,Hybrid CNN-QNN,8,9,825,58,15.75,0.0177,0.8793103448275862,0.8968992248062015,0.8368421052631578,0.8567901234567901
WESAD_binary_Hybrid,Hybrid CNN-QNN,9,10,823,60,15.72,0.0141,0.9,0.8928571428571428,0.9210526315789473,0.8971428571428571
WESAD_binary_Hybrid,Hybrid CNN-QNN,10,11,824,59,15.79,0.0193,0.9830508474576272,0.9772727272727273,0.986842105263158,0.9817054263565892
WESAD_binary_Hybrid,Hybrid CNN-QNN,11,13,824,59,16.07,0.016,0.864406779661017,0.8521303258145363,0.8521303258145363,0.8521303258145363
WESAD_binary_Hybrid,Hybrid CNN-QNN,12,14,824,59,16.21,0.017,1.0,1.0,1.0,1.0
WESAD_binary_Hybrid,Hybrid CNN-QNN,13,15,823,60,15.97,0.016,0.7333333333333333,0.7932692307692308,0.645933014354067,0.6444444444444444
WESAD_binary_Hybrid,Hybrid CNN-QNN,14,16,822,61,16.39,0.0194,1.0,1.0,1.0,1.0
WESAD_binary_Hybrid,Hybrid CNN-QNN,15,17,822,61,16.42,0.017,1.0,1.0,1.0,1.0
WESAD_3class_Hybrid,Hybrid CNN-QNN,1,2,982,67,18.43,0.0252,0.47761194029850745,0.17204301075268816,0.2882882882882883,0.2154882154882155
