task,feature_map,n_qubits,reps,entanglement,scaler,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,1,2,0.75,0.001,ok,0.375,0.2909356725146199,0.29658605974395447,0.2936936936936937
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,2,3,0.86,0.0,ok,0.543859649122807,0.541256157635468,0.5452702702702703,0.5321969696969697
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,3,4,0.69,0.0,ok,0.631578947368421,0.5992063492063492,0.6013513513513513,0.600066822586034
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,4,5,0.7,0.001,ok,0.6779661016949152,0.6279264214046822,0.5980769230769231,0.6003565062388592
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,5,6,0.7,0.0,ok,0.6779661016949152,0.6511056511056511,0.6541353383458646,0.6524031007751938
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,6,7,0.69,0.0,ok,0.4915254237288136,0.7,0.6153846153846154,0.4732142857142857
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,7,8,0.7,0.0,ok,0.847457627118644,0.8434959349593496,0.8176691729323309,0.8276533592989289
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,8,9,0.69,0.0,ok,0.5172413793103449,0.5226190476190476,0.525,0.5078787878787879
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,9,10,0.7,0.0,ok,0.31666666666666665,0.32352941176470584,0.40311004784689,0.28300786942582334
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,10,11,0.7,0.001,ok,0.7796610169491526,0.8088235294117647,0.8289473684210527,0.7786435786435786
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,11,13,0.68,0.0,ok,0.4406779661016949,0.6944444444444444,0.5657894736842105,0.39627906976744187
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,12,14,0.68,0.001,ok,0.3559322033898305,0.34259259259259256,0.32957393483709274,0.3327380952380952
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,13,15,0.69,0.0,ok,0.5666666666666667,0.5416666666666666,0.5430622009569378,0.5417156286721504
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,14,16,0.85,0.0,ok,0.4262295081967213,0.46212121212121215,0.46212121212121215,0.4262295081967213
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,standard,ZZFeatureMap_n3_r1_linear_standard,15,17,0.69,0.001,ok,0.7540983606557377,0.7651975683890577,0.6996567505720823,0.7090620031796502
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,1,2,0.7,0.0,ok,0.7321428571428571,0.7,0.682076813655761,0.6883116883116883
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,2,3,0.67,0.0,ok,0.6842105263157895,0.6816502463054187,0.6993243243243243,0.6761363636363636
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,3,4,0.67,0.0,ok,0.9298245614035088,0.9512195121951219,0.9,0.9188034188034188
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,4,5,0.67,0.0,ok,0.7627118644067796,0.7783564814814814,0.8083333333333333,0.7593240093240092
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,5,6,0.67,0.0,ok,0.6610169491525424,0.7314102564102564,0.7261904761904762,0.6609195402298851
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,6,7,0.67,0.001,ok,0.3389830508474576,0.1694915254237288,0.5,0.25316455696202533
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,7,8,0.71,0.0,ok,0.5932203389830508,0.6008064516129032,0.6096491228070176,0.5874125874125874
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,8,9,0.73,0.0,ok,0.5,0.4023255813953488,0.41710526315789476,0.4067019400352734
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,9,10,0.7,0.0009,ok,0.4666666666666667,0.6000000000000001,0.5598086124401913,0.4444444444444444
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,10,11,2.75,0.0,ok,0.559322033898305,0.7234042553191489,0.6578947368421053,0.5488235294117647
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,11,13,5.42,0.001,ok,0.4406779661016949,0.5309364548494984,0.5231829573934837,0.4302019315188762
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,12,14,5.9,0.001,ok,0.7627118644067796,0.7427536231884058,0.7518796992481203,0.7463144963144963
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,13,15,5.62,0.001,ok,0.45,0.48901098901098905,0.4892344497607656,0.44984717977215893
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,14,16,5.78,0.003,ok,0.8688524590163934,0.8666666666666667,0.8974358974358974,0.865934065934066
WESAD_binary_QSVM,ZZFeatureMap,3,1,linear,robust,ZZFeatureMap_n3_r1_linear_robust,15,17,5.2,0.001,ok,0.8688524590163934,0.8604118993135011,0.8604118993135011,0.8604118993135011
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,1,2,5.98,0.0011,ok,0.08928571428571429,0.10561497326203209,0.08036984352773827,0.08666453469779341
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,2,3,5.66,0.001,ok,0.3684210526315789,0.3932225063938619,0.38716216216216215,0.3666666666666667
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,3,4,6.46,0.0011,ok,0.6491228070175439,0.6214285714285714,0.6263513513513514,0.623015873015873
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,4,5,6.03,0.0,ok,0.6610169491525424,0.6104651162790697,0.5974358974358974,0.6002710027100271
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,5,6,6.12,0.0011,ok,0.3559322033898305,0.4011627906976744,0.41478696741854637,0.35127314814814814
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,6,7,5.99,0.0,ok,0.4067796610169492,0.5514705882352942,0.5269230769230769,0.38118070122864844
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,7,8,6.26,0.001,ok,0.8135593220338984,0.8132267441860466,0.7700501253132832,0.7834501167834501
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,8,9,5.7,0.0,ok,0.3620689655172414,0.3620689655172414,0.34736842105263155,0.3463295766067621
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,9,10,6.21,0.001,ok,0.3,0.32386363636363635,0.35167464114832536,0.29292929292929293
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,10,11,4.65,0.001,ok,0.9322033898305084,0.9199999999999999,0.9473684210526316,0.9287439613526569
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,11,13,3.8,0.001,ok,0.5423728813559322,0.6260504201680672,0.612781954887218,0.5402597402597402
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,12,14,4.62,0.0,ok,0.5423728813559322,0.5549768518518519,0.5595238095238095,0.5375907111756169
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,13,15,2.47,0.0,ok,0.5666666666666667,0.5666666666666667,0.5717703349282297,0.5588235294117647
WESAD_binary_QSVM,ZZFeatureMap,3,1,full,standard,ZZFeatureMap_n3_r1_full_standard,14,16,0.71,0.0,ok,0.5573770491803278,0.5154761904761904,0.5151515151515151,0.5151604356785399
