task,ansatz,n_qubits,reps,entanglement,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,1,2,42.73,1.1001,ok,0.5178571428571429,0.5178571428571429,0.5199146514935988,0.5050736497545009
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,2,3,134.07,1.1044,ok,0.543859649122807,0.49932432432432433,0.49932432432432433,0.49932432432432433
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,3,4,129.83,1.0385,ok,0.5087719298245614,0.5166666666666666,0.5182432432432433,0.50125
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,4,5,134.0,1.1546,ok,0.5423728813559322,0.5072463768115942,0.5076923076923077,0.5060465116279069
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,5,6,128.86,1.1931,ok,0.5932203389830508,0.5729411764705883,0.5776942355889725,0.572463768115942
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,6,7,132.0,1.2952,ok,0.5084745762711864,0.5279720279720279,0.5307692307692308,0.5033381712626996
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,7,8,133.07,1.1638,ok,0.5254237288135594,0.5328341013824884,0.5357142857142857,0.5186480186480187
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,8,9,134.01,1.224,ok,0.5517241379310345,0.5571428571428572,0.5631578947368421,0.543030303030303
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,9,10,133.58,1.2516,ok,0.4666666666666667,0.4375,0.43540669856459335,0.43595769682726204
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,10,11,131.92,1.2198,ok,0.5932203389830508,0.6118881118881119,0.6203007518796992,0.5902777777777778
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,11,13,134.68,1.2415,ok,0.4915254237288136,0.47916666666666663,0.47744360902255634,0.4732142857142857
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,12,14,134.49,1.7696,ok,0.559322033898305,0.5668202764976958,0.5726817042606516,0.553030303030303
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,13,15,132.12,1.2085,ok,0.48333333333333334,0.4788654060066741,0.4772727272727273,0.4714407502131287
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,14,16,134.57,1.2349,ok,0.4262295081967213,0.47073170731707314,0.47202797202797203,0.4256120527306968
WESAD_binary_VQC,RealAmplitudes,3,1,linear,RealAmplitudes_n3_r1_linear,15,17,132.01,1.1714,ok,0.5081967213114754,0.546037296037296,0.5451945080091534,0.5080645161290323
WESAD_binary_VQC,RealAmplitudes,3,1,circular,RealAmplitudes_n3_r1_circular,1,2,136.56,1.1026,ok,0.375,0.3489583333333333,0.33499288762446655,0.3394000674081564
