task,config,ansatz,n_qubits,reps,entanglement,f1_mean,f1_std,acc_mean,train_time_mean
DREAMER_binary_EEG_VQC,EfficientSU2_n6_r1_linear,EfficientSU2,6,1,linear,0.48691057746987215,0.12580110087901783,0.5483091787439613,25.18217391304348
DREAMER_binary_EEG_VQC,EfficientSU2_n6_r1_circular,EfficientSU2,6,1,circular,0.46369097664516085,0.12258874315346847,0.5217391304347826,25.050434782608693
DREAMER_binary_EEG_VQC,RealAmplitudes_n6_r1_circular,RealAmplitudes,6,1,circular,0.43997276666873536,0.10742101382818058,0.4830917874396135,22.078260869565216
DREAMER_binary_EEG_VQC,RealAmplitudes_n6_r1_linear,RealAmplitudes,6,1,linear,0.4387598123567232,0.14082944873629877,0.4975845410628019,48.36913043478261
DREAMER_binary_EEG_VQC,RealAmplitudes_n4_r1_circular,RealAmplitudes,4,1,circular,0.4284573242579621,0.12803707140375603,0.5241545893719807,29.164347826086956
DREAMER_binary_EEG_VQC,EfficientSU2_n4_r1_linear,EfficientSU2,4,1,linear,0.41264759033889326,0.14298202274529037,0.5024154589371981,17.963043478260868
DREAMER_binary_EEG_VQC,EfficientSU2_n4_r1_circular,EfficientSU2,4,1,circular,0.40407754070210883,0.12208370297085779,0.5024154589371981,18.799130434782608
DREAMER_binary_EEG_VQC,RealAmplitudes_n4_r1_linear,RealAmplitudes,4,1,linear,0.3965365505664544,0.13010874501538866,0.4710144927536232,15.819130434782608
WESAD_3class_VQC,EfficientSU2_n3_r1_circular,EfficientSU2,3,1,circular,0.3230932433288503,0.04763266265041936,0.4540415225721709,22.019333333333336
WESAD_3class_VQC,RealAmplitudes_n3_r1_linear,RealAmplitudes,3,1,linear,0.3215169866778073,0.06227924319561015,0.4553951750041104,53.174
WESAD_3class_VQC,RealAmplitudes_n3_r1_circular,RealAmplitudes,3,1,circular,0.31923483292096927,0.054809771732280105,0.44906247879760597,53.00666666666667
WESAD_3class_VQC,EfficientSU2_n4_r1_linear,EfficientSU2,4,1,linear,0.30550991332233923,0.050537704221014196,0.44420354664650996,25.701999999999998
WESAD_3class_VQC,RealAmplitudes_n4_r1_linear,RealAmplitudes,4,1,linear,0.29627048625129077,0.05365350653410784,0.4180807022082418,23.05666666666667
WESAD_3class_VQC,EfficientSU2_n3_r1_linear,EfficientSU2,3,1,linear,0.29193954787937304,0.04417475616240969,0.4203643726894911,21.99866666666667
WESAD_3class_VQC,RealAmplitudes_n4_r1_circular,RealAmplitudes,4,1,circular,0.28949242319888896,0.03816422149927292,0.4097638606980877,24.35
WESAD_3class_VQC,EfficientSU2_n4_r1_circular,EfficientSU2,4,1,circular,0.28786023383770404,0.04292361668157057,0.410493021537674,27.247333333333334
WESAD_binary_VQC,RealAmplitudes_n4_r1_linear,RealAmplitudes,4,1,linear,0.5334634031543593,0.0852963431789763,0.5474694191653102,82.81066666666668
WESAD_binary_VQC,EfficientSU2_n3_r1_circular,EfficientSU2,3,1,circular,0.5048725666561867,0.08830797204042429,0.519510393234686,40.34133333333333
WESAD_binary_VQC,EfficientSU2_n4_r1_linear,EfficientSU2,4,1,linear,0.5021076625539692,0.06997708563965971,0.5138798621046009,48.09
WESAD_binary_VQC,RealAmplitudes_n4_r1_circular,RealAmplitudes,4,1,circular,0.49623278524970593,0.0711371950623982,0.5102700590841807,81.52066666666666
WESAD_binary_VQC,EfficientSU2_n4_r1_circular,EfficientSU2,4,1,circular,0.4958135613751228,0.10397642749129171,0.5168096907322136,48.05533333333334
WESAD_binary_VQC,EfficientSU2_n3_r1_linear,EfficientSU2,3,1,linear,0.48660944605444595,0.06899130054791945,0.5005601157531292,40.44533333333333
WESAD_binary_VQC,RealAmplitudes_n3_r1_linear,RealAmplitudes,3,1,linear,0.48257633429431096,0.10181657704211725,0.4997449776453346,70.328
WESAD_binary_VQC,RealAmplitudes_n3_r1_circular,RealAmplitudes,3,1,circular,0.46919456918847374,0.10472983642820172,0.4804978739369014,72.77066666666666
